id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
36653918,抓娃娃,,https://dou.img.lithub.cc/movie/36653918.jpg,2024-07-16(中国大陆),https://movie.douban.com/subject/36653918/,7.4,喜剧,2,不好意思，代入了,,2024-07-19 22:04:56,2024 / 中国大陆 / 喜剧 / 闫非 彭大魔 / 沈腾 马丽
36188895,错位,,https://dou.img.lithub.cc/movie/36188895.jpg,2024-07-11(中国大陆),https://movie.douban.com/subject/36188895/,7.2,"爱情,悬疑,犯罪",3,悬疑和人的成长挂勾，想法挺巧，但是不是要要的太多了，单悬疑写好看就不简单,,2024-07-19 08:40:45,2024 / 中国大陆 / 爱情 悬疑 犯罪 / 郭映嘉 / 马伊琍 佟大为
35956190,走走停停,,https://dou.img.lithub.cc/movie/35956190.jpg,2024-06-08(中国大陆),https://movie.douban.com/subject/35956190/,8,"剧情,喜剧,家庭",4,难得能接受遗憾的片子,,2024-07-13 10:31:57,2024 / 中国大陆 / 剧情 喜剧 家庭 / 龙飞 / 胡歌 高圆圆
36085987,犯罪都市4,,https://dou.img.lithub.cc/movie/36085987.jpg,2024-02-23(柏林电影节),https://movie.douban.com/subject/36085987/,6.6,"动作,惊悚,犯罪",3,,,2024-07-07 17:11:48,2024 / 韩国 / 动作 惊悚 犯罪 / 许明行 / 马东锡 金武烈
35441874,何以中国,,https://dou.img.lithub.cc/movie/35441874.jpg,2023-12-09(中国大陆),https://movie.douban.com/subject/35441874/,9.1,纪录片,4,,,2024-07-06 20:28:10,2023 / 中国大陆 / 纪录片 / 干超 周洪波 魏国歌 王凯 钟倍尔 黄瀛灏 王冲霄 许贞 曹兢 / 胡歌 曹磊
36059974,政坛旋风,,https://dou.img.lithub.cc/movie/36059974.jpg,2024-06-28(韩国),https://movie.douban.com/subject/36059974/,7.9,,4,节奏快得得回看,,2024-07-02 11:44:25,2024 / 韩国 / 金勇完 / 薛景求 金喜爱
35665988,玫瑰的故事,,https://dou.img.lithub.cc/movie/35665988.jpg,2024-06-08(中国大陆),https://movie.douban.com/subject/35665988/,7.3,剧情,2,什么啊,,2024-06-24 19:00:14,2024 / 中国大陆 / 剧情 / 汪俊 / 刘亦菲 佟大为
35898983,职业杀手,,https://dou.img.lithub.cc/movie/35898983.jpg,2023-09-05(威尼斯电影节),https://movie.douban.com/subject/35898983/,7,"喜剧,动作,爱情",3,,,2024-06-12 22:16:53,2023 / 美国 / 喜剧 动作 爱情 犯罪 / 理查德·林克莱特 / 格伦·鲍威尔 阿德里娅·阿霍纳
35211921,富都青年,,https://dou.img.lithub.cc/movie/35211921.jpg,2023-12-01(中国台湾),https://movie.douban.com/subject/35211921/,6.9,剧情,3,,,2024-06-01 17:14:44,2023 / 马来西亚 / 剧情 / 王礼霖 / 吴慷仁 陈泽耀
36208094,第二十条,,https://dou.img.lithub.cc/movie/36208094.jpg,2024-02-10(中国大陆),https://movie.douban.com/subject/36208094/,7.5,"剧情,喜剧,家庭",4,多少个“绝望的一跳”是不归路，明知不合理，却仍就随波，我们何尝不是“施害者”。,,2024-05-05 10:38:00,2024 / 中国大陆 / 剧情 喜剧 家庭 / 张艺谋 / 雷佳音 马丽
36151693,不够善良的我们,,https://dou.img.lithub.cc/movie/36151693.jpg,2024-04-06(中国台湾),https://movie.douban.com/subject/36151693/,8.3,剧情,5,最后一集，心裂,,2024-05-02 20:33:50,2024 / 中国台湾 / 剧情 / 徐誉庭 / 林依晨 许玮甯
35490167,破墓,,https://dou.img.lithub.cc/movie/35490167.jpg,2024-02-16(柏林电影节),https://movie.douban.com/subject/35490167/,6.7,"悬疑,惊悚,恐怖",3,,,2024-04-27 22:08:54,2024 / 韩国 / 悬疑 惊悚 恐怖 / 张在现 / 崔岷植 金高银
35861696,眼泪女王,,https://dou.img.lithub.cc/movie/35861696.jpg,2024-03-09(韩国),https://movie.douban.com/subject/35861696/,6.9,"剧情,爱情",3,,,2024-04-13 09:59:38,2024 / 韩国 / 剧情 爱情 / 金希元 张荣佑 / 金秀贤 金智媛
1291561,千与千寻,,https://dou.img.lithub.cc/movie/1291561.jpg,2019-06-21(中国大陆),https://movie.douban.com/subject/1291561/,9.4,"剧情,动画,奇幻",,,,2024-04-05 08:00:59,2001 / 日本 / 剧情 动画 奇幻 / 宫崎骏 / 柊瑠美 入野自由
26925611,你想活出怎样的人生,,https://dou.img.lithub.cc/movie/26925611.jpg,2024-04-03(中国大陆),https://movie.douban.com/subject/26925611/,7.6,"动画,奇幻,冒险",3,低于期待,,2024-04-05 08:00:48,2023 / 日本 / 动画 奇幻 冒险 / 宫崎骏 / 山时聪真 菅田将晖
35575567,沙丘2,,https://dou.img.lithub.cc/movie/35575567.jpg,2024-03-08(中国大陆),https://movie.douban.com/subject/35575567/,8.2,"剧情,动作,科幻",4,节奏飞快，开战咯,,2024-03-24 19:07:34,2024 / 美国 加拿大 / 剧情 动作 科幻 冒险 / 丹尼斯·维伦纽瓦 / 提莫西·查拉梅 赞达亚
35736202,狗神,,https://dou.img.lithub.cc/movie/35736202.jpg,2023-12-15(中国大陆),https://movie.douban.com/subject/35736202/,8.1,剧情,4,god，dog！,,2024-02-22 09:28:03,2023 / 法国 美国 / 剧情 / 吕克·贝松 / 卡莱伯·兰德里·琼斯 克里斯托弗·邓汉
36369452,飞驰人生2,,https://dou.img.lithub.cc/movie/36369452.jpg,2024-02-10(中国大陆),https://movie.douban.com/subject/36369452/,7.6,"剧情,喜剧,运动",4,飞吧,,2024-02-22 09:26:35,2024 / 中国大陆 / 剧情 喜剧 运动 / 韩寒 / 沈腾 范丞丞
